Network DDoS Simulation Results
Timestamp,2025-10-23_17-24-50
Simulation Duration,900s
Number of Servers,8
Processing Power,250 req/sec
Queue Size,400
Legitimate Clients,700
Malicious Clients,120
Legitimate Traffic Rate,3 req/sec
Malicious Traffic Rate,25 req/sec
Request Timeout,3s
Server Timeout,2s

Final Simulation Results
Total Generated Requests,4589300
Total Served Requests,1004774
Total Dropped - Queue Full,2493
Total Dropped - Timeout,1038
Total Dropped - High Load,26929
Total Dropped - No Server,3554066
Overall Success Rate,21.89%
Overall Drop Rate,78.11%

Probability Analysis
Bandwidth Exhaustion,100.00%
Resource Depletion,84.18%
Successful Attack,80.83%
Total Processing Capacity,2000 req/sec
Capacity Threshold,1600 req/sec

Per-Server Breakdown
Server ID,Total Requests Received,Total Requests Processed,Success Rate,Acceptance Rate,Processing Rate,Drops Queue Full,Drops Queue Full Rate,Drops Timeout,Drops Timeout Rate,Drops High Load,Drops High Load Rate,Total Drops,Total Drop Rate,Max CPU Utilization,Avg CPU Utilization,Max Queue Utilization,Avg Queue Utilization,Max Queue Length,Avg Queue Length,Min Health Score,Avg Health Score,Time Spent Offline,Offline Percentage
NetworkServer0,129763,125986,97.09%,100.00%,140.0 req/sec,314,0.24%,73,0.06%,3390,2.61%,3777,2.91%,100.0%,70.6%,100.0%,39.1%,400,156.4,0.000,0.477,3.4s,0.4%
NetworkServer1,130569,126669,97.01%,100.00%,140.7 req/sec,316,0.24%,250,0.19%,3334,2.55%,3900,2.99%,100.0%,76.0%,100.0%,43.1%,400,172.3,0.000,0.432,1.9s,0.2%
NetworkServer2,130681,126853,97.07%,100.00%,140.9 req/sec,309,0.24%,155,0.12%,3364,2.57%,3828,2.93%,100.0%,73.1%,100.0%,36.9%,400,147.5,0.000,0.481,3.3s,0.4%
NetworkServer3,130787,126914,97.04%,100.00%,141.0 req/sec,315,0.24%,197,0.15%,3361,2.57%,3873,2.96%,100.0%,71.4%,100.0%,40.8%,400,163.2,0.000,0.464,1.7s,0.2%
NetworkServer4,126118,122462,97.10%,100.00%,136.1 req/sec,307,0.24%,0,0.00%,3349,2.66%,3656,2.90%,100.0%,73.6%,100.0%,40.0%,400,160.0,0.000,0.460,2.0s,0.2%
NetworkServer5,129803,125847,96.95%,100.00%,139.8 req/sec,316,0.24%,208,0.16%,3432,2.64%,3956,3.05%,100.0%,73.9%,100.0%,42.1%,400,168.3,0.000,0.447,1.6s,0.2%
NetworkServer6,128822,125010,97.04%,100.00%,138.9 req/sec,310,0.24%,155,0.12%,3347,2.60%,3812,2.96%,100.0%,71.1%,100.0%,41.5%,400,165.8,0.000,0.461,3.2s,0.4%
NetworkServer7,128691,125033,97.16%,100.00%,138.9 req/sec,306,0.24%,0,0.00%,3352,2.60%,3658,2.84%,100.0%,74.0%,100.0%,44.7%,400,178.7,0.000,0.430,3.6s,0.4%

Total Simulation Time-Series Data
Timestamp,Total Generated,Total Served,Drops Queue Full,Drops Timeout,Drops High Load,Drops No Server,Success Rate,Drop Rate,Legit Sent,Legit Success,Legit No Response,Legit Success Rate,Legit Drop Rate,Botnet Sent,Botnet Success,Botnet No Response,Botnet Success Rate,Botnet Drop Rate,Bandwidth Exhaustion Prob,Resource Depletion Prob,Successful Attack Prob,Avg CPU Utilization,Avg Queue Utilization,Avg Health Score
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.00%,0.00%,0.000
5,25380,6150,16,0,194,18460,0.24231678486997635,0.735618597320725,10500,2681,7674,0.25533333333333336,0.7308571428571429,14880,3469,10786,0.23313172043010752,0.7248655913978495,1.0,0.7446666666666666,0.6996078431372549,50.00%,14.37%,0.714
10,50300,11862,30,0,347,37341,0.23582504970178927,0.7498608349900596,20300,4744,15084,0.23369458128078818,0.7430541871921182,30000,7118,22257,0.23726666666666665,0.7419,1.0,0.7663054187192118,0.7250651984931904,40.00%,20.00%,0.720
15,75800,16699,45,0,497,56704,0.22030343007915568,0.7552242744063324,30800,5518,24312,0.17915584415584415,0.7893506493506494,45000,11181,32392,0.24846666666666667,0.7198222222222223,1.0,0.8208441558441558,0.7892284186401833,95.50%,52.00%,0.306
20,102000,23028,60,0,674,75876,0.22576470588235295,0.751078431372549,42000,8524,32489,0.20295238095238094,0.773547619047619,60000,14504,43387,0.24173333333333333,0.7231166666666666,1.0,0.797047619047619,0.761232492997199,75.00%,69.12%,0.285
25,127500,28306,71,0,774,96567,0.2220078431372549,0.7640156862745098,52500,10083,40764,0.19205714285714287,0.7764571428571428,75000,18223,55803,0.24297333333333335,0.74404,1.0,0.8079428571428571,0.7740504201680672,75.00%,51.00%,0.394
30,153000,33772,84,0,913,116862,0.22073202614379084,0.7703202614379085,63000,12102,49982,0.1920952380952381,0.7933650793650794,90000,21670,66880,0.24077777777777779,0.7431111111111111,1.0,0.8079047619047619,0.7740056022408963,67.00%,38.59%,0.500
35,178500,39809,99,0,1080,136228,0.22301960784313726,0.7697871148459384,73500,13593,59062,0.18493877551020407,0.8035646258503402,105000,26216,77166,0.24967619047619047,0.7349142857142857,1.0,0.8150612244897959,0.7824249699879952,73.50%,35.53%,0.493
40,203300,45457,111,0,1218,155280,0.22359567142154452,0.7703344810624693,83300,14953,67587,0.1795078031212485,0.8113685474189676,120000,30504,87693,0.2542,0.730775,1.0,0.8204921968787515,0.7888143492691194,75.00%,33.88%,0.497
45,228800,50485,124,0,1356,175651,0.2206512237762238,0.774173951048951,93800,15836,76802,0.1688272921108742,0.8187846481876333,135000,34649,98849,0.25665925925925925,0.7322148148148148,1.0,0.8311727078891258,0.801379656340148,75.00%,32.31%,0.506
50,254300,55651,136,0,1505,195044,0.2188399528116398,0.7734368855682265,104300,16992,85782,0.16291466922339407,0.8224544582933845,150000,38659,109262,0.25772666666666666,0.7284133333333334,1.0,0.837085330776606,0.8083356832665952,84.50%,56.09%,0.325
55,279800,60935,150,0,1652,214847,0.2177805575411008,0.7742994996426018,114800,18637,94660,0.16234320557491289,0.8245644599303136,165000,42298,120187,0.25635151515151516,0.7284060606060606,1.0,0.8376567944250871,0.8090079934412789,87.50%,63.78%,0.267
60,305300,66651,163,0,1806,234905,0.21831313462168359,0.7758729118899443,125300,20272,104012,0.1617877094972067,0.8301037509976057,180000,46379,130893,0.2576611111111111,0.7271833333333333,1.0,0.8382122905027933,0.8096615182385803,87.50%,50.00%,0.350
