Network DDoS Simulation Results
Timestamp,2025-10-23_17-59-20
Simulation Duration,900s
Number of Servers,8
Processing Power,250 req/sec
Queue Size,400
Legitimate Clients,400
Malicious Clients,200
Legitimate Traffic Rate,2 req/sec
Malicious Traffic Rate,25 req/sec
Request Timeout,3s
Server Timeout,2s

Final Simulation Results
Total Generated Requests,5219600
Total Served Requests,970443
Total Dropped - Queue Full,2527
Total Dropped - Timeout,2020
Total Dropped - High Load,27912
Total Dropped - No Server,4216698
Overall Success Rate,18.59%
Overall Drop Rate,81.41%

Probability Analysis
Bandwidth Exhaustion,100.00%
Resource Depletion,88.10%
Successful Attack,85.45%
Total Processing Capacity,2000 req/sec
Capacity Threshold,1600 req/sec

Per-Server Breakdown
Server ID,Total Requests Received,Total Requests Processed,Success Rate,Acceptance Rate,Processing Rate,Drops Queue Full,Drops Queue Full Rate,Drops Timeout,Drops Timeout Rate,Drops High Load,Drops High Load Rate,Total Drops,Total Drop Rate,Max CPU Utilization,Avg CPU Utilization,Max Queue Utilization,Avg Queue Utilization,Max Queue Length,Avg Queue Length,Min Health Score,Avg Health Score,Time Spent Offline,Offline Percentage
NetworkServer0,125361,121221,96.70%,100.00%,134.7 req/sec,309,0.25%,334,0.27%,3497,2.79%,4140,3.30%,100.0%,85.9%,100.0%,46.6%,400,186.5,0.000,0.371,2.7s,0.3%
NetworkServer1,125657,121597,96.77%,100.00%,135.1 req/sec,314,0.25%,297,0.24%,3449,2.74%,4060,3.23%,100.0%,81.7%,100.0%,42.7%,400,171.0,0.000,0.411,1.8s,0.2%
NetworkServer2,125385,121276,96.72%,100.00%,134.8 req/sec,319,0.25%,253,0.20%,3537,2.82%,4109,3.28%,100.0%,85.2%,100.0%,44.3%,400,177.2,0.000,0.388,2.2s,0.2%
NetworkServer3,125320,121174,96.69%,100.00%,134.6 req/sec,318,0.25%,328,0.26%,3500,2.79%,4146,3.31%,100.0%,87.7%,100.0%,47.4%,400,189.5,0.000,0.360,3.3s,0.4%
NetworkServer4,124350,120326,96.76%,100.00%,133.7 req/sec,315,0.25%,280,0.23%,3429,2.76%,4024,3.24%,100.0%,81.0%,100.0%,45.2%,400,180.9,0.000,0.399,2.0s,0.2%
NetworkServer5,125346,121231,96.72%,100.00%,134.7 req/sec,315,0.25%,363,0.29%,3437,2.74%,4115,3.28%,100.0%,81.5%,100.0%,45.8%,400,183.2,0.000,0.394,2.4s,0.3%
NetworkServer6,125204,121310,96.89%,100.00%,134.8 req/sec,317,0.25%,0,0.00%,3577,2.86%,3894,3.11%,100.0%,86.4%,100.0%,47.0%,400,188.0,0.000,0.367,3.0s,0.3%
NetworkServer7,126279,122308,96.86%,100.00%,135.9 req/sec,320,0.25%,165,0.13%,3486,2.76%,3971,3.14%,100.0%,88.1%,100.0%,48.0%,400,192.2,0.000,0.354,3.2s,0.4%

Total Simulation Time-Series Data
Timestamp,Total Generated,Total Served,Drops Queue Full,Drops Timeout,Drops High Load,Drops No Server,Success Rate,Drop Rate,Legit Sent,Legit Success,Legit No Response,Legit Success Rate,Legit Drop Rate,Botnet Sent,Botnet Success,Botnet No Response,Botnet Success Rate,Botnet Drop Rate,Bandwidth Exhaustion Prob,Resource Depletion Prob,Successful Attack Prob,Avg CPU Utilization,Avg Queue Utilization,Avg Health Score
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.00%,0.00%,0.000
5,28400,5089,17,0,203,21145,0.17919014084507043,0.7522887323943662,3600,389,2877,0.10805555555555556,0.7991666666666667,24800,4700,18268,0.18951612903225806,0.7366129032258064,1.0,0.8919444444444444,0.8728758169934641,100.00%,54.56%,0.273
10,57600,10890,33,0,371,44001,0.1890625,0.7709201388888889,7600,1108,6445,0.14578947368421052,0.8480263157894737,50000,9782,37556,0.19564,0.75112,1.0,0.8542105263157895,0.8284829721362228,87.50%,66.56%,0.251
15,86600,16497,45,0,501,68203,0.19049653579676673,0.7938683602771363,11600,1333,9806,0.11491379310344828,0.8453448275862069,75000,15164,58397,0.20218666666666665,0.7786266666666667,1.0,0.8850862068965517,0.8648073022312373,87.50%,36.84%,0.429
20,115600,22162,59,0,648,91122,0.1917128027681661,0.7943685121107267,15600,2114,13370,0.13551282051282051,0.857051282051282,100000,20048,77752,0.20048,0.77752,1.0,0.8644871794871795,0.8405731523378582,94.50%,44.38%,0.356
25,144600,27465,74,0,798,114149,0.18993775933609958,0.7954426002766252,19600,2172,17341,0.11081632653061224,0.8847448979591837,125000,25293,96808,0.202344,0.774464,1.0,0.8891836734693878,0.8696278511404562,100.00%,59.81%,0.241
30,173600,33130,89,0,965,137258,0.1908410138248848,0.7967281105990783,23600,2625,20570,0.11122881355932203,0.8716101694915255,150000,30505,116688,0.20336666666666667,0.77792,1.0,0.888771186440678,0.8691425722831506,100.00%,61.19%,0.233
35,202600,38508,102,0,1093,161306,0.1900691016781836,0.8020779861796644,27600,2983,24443,0.10807971014492754,0.8856159420289855,175000,35525,136863,0.203,0.7820742857142857,1.0,0.8919202898550724,0.872847399829497,75.00%,45.03%,0.430
40,231600,43794,116,0,1246,184866,0.18909326424870465,0.8040932642487046,31600,3186,28225,0.10082278481012658,0.8931962025316456,200000,40608,156641,0.20304,0.783205,1.0,0.8991772151898734,0.8813849590469099,50.00%,46.19%,0.523
45,260600,48641,128,0,1389,208918,0.1866500383729854,0.8075019186492709,35600,3186,32225,0.08949438202247191,0.9051966292134831,225000,45455,176693,0.20202222222222221,0.7853022222222222,1.0,0.910505617977528,0.8947124917382683,94.50%,41.72%,0.372
50,289600,53707,143,0,1541,232231,0.18545234806629834,0.8077175414364641,39600,3186,36185,0.08045454545454546,0.9137626262626263,250000,50521,196046,0.202084,0.784184,1.0,0.9195454545454546,0.9053475935828877,87.50%,56.34%,0.312
55,318600,59512,158,0,1709,255505,0.1867922159447583,0.8078217200251099,43600,3504,39845,0.08036697247706422,0.9138761467889909,275000,56008,215660,0.20366545454545454,0.7842181818181818,1.0,0.9196330275229357,0.9054506206152185,87.50%,48.16%,0.361
60,347600,64336,170,0,1841,279599,0.18508630609896431,0.8101553509781357,47600,3952,43371,0.08302521008403362,0.911155462184874,300000,60384,236228,0.20128,0.7874266666666667,1.0,0.9169747899159664,0.9023232822540781,87.50%,46.22%,0.373
65,376600,69447,184,0,2008,303063,0.18440520446096653,0.810554965480616,51600,4207,46951,0.08153100775193799,0.9099031007751938,325000,65240,256112,0.20073846153846153,0.7880369230769231,1.0,0.918468992248062,0.9040811673506611,75.00%,54.62%,0.372
70,405600,74603,197,0,2172,327094,0.18393244575936885,0.8122855029585799,55600,4355,50951,0.0783273381294964,0.9163848920863309,350000,70248,276143,0.20070857142857143,0.78898,1.0,0.9216726618705036,0.9078501904358866,62.50%,44.03%,0.486
