Network DDoS Simulation Results
Timestamp,2025-10-23_17-43-32
Simulation Duration,900s
Number of Servers,6
Processing Power,200 req/sec
Queue Size,350
Legitimate Clients,400
Malicious Clients,80
Legitimate Traffic Rate,2 req/sec
Malicious Traffic Rate,15 req/sec
Request Timeout,3s
Server Timeout,2s

Final Simulation Results
Total Generated Requests,1799520
Total Served Requests,624777
Total Dropped - Queue Full,1712
Total Dropped - Timeout,14799
Total Dropped - High Load,18221
Total Dropped - No Server,1140011
Overall Success Rate,34.72%
Overall Drop Rate,65.28%

Probability Analysis
Bandwidth Exhaustion,99.98%
Resource Depletion,70.36%
Successful Attack,64.58%
Total Processing Capacity,1200 req/sec
Capacity Threshold,960 req/sec

Per-Server Breakdown
Server ID,Total Requests Received,Total Requests Processed,Success Rate,Acceptance Rate,Processing Rate,Drops Queue Full,Drops Queue Full Rate,Drops Timeout,Drops Timeout Rate,Drops High Load,Drops High Load Rate,Total Drops,Total Drop Rate,Max CPU Utilization,Avg CPU Utilization,Max Queue Utilization,Avg Queue Utilization,Max Queue Length,Avg Queue Length,Min Health Score,Avg Health Score,Time Spent Offline,Offline Percentage
NetworkServer0,110236,104802,95.07%,100.00%,116.4 req/sec,287,0.26%,2200,2.00%,2947,2.67%,5434,4.93%,100.0%,72.8%,100.0%,39.7%,350,139.0,0.000,0.465,1.7s,0.2%
NetworkServer1,108326,102436,94.56%,100.00%,113.8 req/sec,280,0.26%,2475,2.28%,3135,2.89%,5890,5.44%,100.0%,78.6%,100.0%,44.0%,350,154.1,0.000,0.416,1.7s,0.2%
NetworkServer2,111257,105144,94.51%,100.00%,116.8 req/sec,290,0.26%,2702,2.43%,3121,2.81%,6113,5.49%,100.0%,79.6%,100.0%,46.2%,350,161.8,0.000,0.399,2.0s,0.2%
NetworkServer3,109147,103092,94.45%,100.00%,114.5 req/sec,284,0.26%,2637,2.42%,3134,2.87%,6055,5.55%,100.0%,75.4%,100.0%,40.0%,350,140.0,0.000,0.453,3.4s,0.4%
NetworkServer4,110340,104810,94.99%,100.00%,116.5 req/sec,282,0.26%,2392,2.17%,2856,2.59%,5530,5.01%,100.0%,75.0%,99.4%,40.5%,348,141.7,0.000,0.452,2.6s,0.3%
NetworkServer5,110203,104493,94.82%,100.00%,116.1 req/sec,289,0.26%,2393,2.17%,3028,2.75%,5710,5.18%,100.0%,73.4%,98.6%,41.8%,345,146.2,0.000,0.450,2.8s,0.3%

Total Simulation Time-Series Data
Timestamp,Total Generated,Total Served,Drops Queue Full,Drops Timeout,Drops High Load,Drops No Server,Success Rate,Drop Rate,Legit Sent,Legit Success,Legit No Response,Legit Success Rate,Legit Drop Rate,Botnet Sent,Botnet Success,Botnet No Response,Botnet Success Rate,Botnet Drop Rate,Bandwidth Exhaustion Prob,Resource Depletion Prob,Successful Attack Prob,Avg CPU Utilization,Avg Queue Utilization,Avg Health Score
70,139520,49384,131,768,1455,85994,0.35395642201834865,0.6332282110091743,55600,18715,35242,0.3366007194244604,0.6338489208633094,83920,30669,51520,0.36545519542421356,0.6139180171591992,1.0,0.6633992805755395,0.6039991536182819,100.00%,78.86%,0.127
75,149520,53384,141,768,1560,92560,0.357035848047084,0.6355604601391118,59600,20241,38253,0.3396140939597315,0.6418288590604027,89920,33143,55075,0.3685831850533808,0.6124888790035588,1.0,0.6603859060402685,0.6004540071061982,66.67%,48.52%,0.442
80,159520,56468,148,856,1619,99564,0.3539869608826479,0.6405905215646941,63600,21065,41172,0.3312106918238994,0.6473584905660378,95920,35403,59248,0.3690888240200167,0.6176814011676397,1.0,0.6687893081761006,0.6103403625601184,83.33%,35.95%,0.451
85,169520,59918,158,861,1747,105876,0.3534568192543653,0.6408801321378008,67600,22232,44220,0.3288757396449704,0.6541420118343195,101920,37686,62517,0.3697605965463108,0.6133928571428572,1.0,0.6711242603550296,0.6130873651235642,78.03%,40.81%,0.443
90,179520,62998,169,1065,1846,111893,0.350924688057041,0.6404467468805705,71600,23052,47001,0.3219553072625698,0.6564385474860335,107920,39946,65957,0.3701445515196442,0.6111656782802075,1.0,0.6780446927374302,0.6212290502793296,100.00%,67.48%,0.195
95,189600,66386,176,1161,1929,118735,0.3501371308016878,0.6434651898734177,75600,23947,50499,0.31675925925925924,0.6679761904761905,114000,42439,69397,0.3722719298245614,0.6087456140350878,1.0,0.6832407407407408,0.6273420479302831,100.00%,51.48%,0.291
100,199600,69344,186,1347,2051,125239,0.34741482965931864,0.6454058116232465,79600,24399,53801,0.30652010050251255,0.675891959798995,120000,44945,72785,0.37454166666666666,0.6065416666666666,1.0,0.6934798994974875,0.6393881170558676,100.00%,61.95%,0.228
105,209600,72593,195,1506,2147,131932,0.34634064885496185,0.6478053435114504,83600,25229,57136,0.3017822966507177,0.6834449760765551,126000,47364,76302,0.3759047619047619,0.6055714285714285,1.0,0.6982177033492822,0.6449620039403322,87.12%,52.95%,0.334
110,219600,75526,202,1630,2215,139312,0.3439253187613843,0.6528187613843351,87600,26142,60072,0.2984246575342466,0.6857534246575342,132000,49384,80870,0.37412121212121213,0.6126515151515152,1.0,0.7015753424657534,0.6489121676067688,50.00%,30.90%,0.615
115,229600,79058,213,1677,2310,145151,0.3443292682926829,0.6504834494773519,91600,27580,62362,0.3010917030567686,0.6808078602620087,138000,51478,84466,0.3730289855072464,0.612072463768116,1.0,0.6989082969432314,0.645774466992037,83.33%,51.48%,0.358
120,239600,82806,223,1694,2404,151461,0.34560100166944907,0.6501752921535893,95600,29060,64806,0.30397489539748956,0.6778870292887029,144000,53746,88349,0.3732361111111111,0.6135347222222223,1.0,0.6960251046025104,0.6423824760029534,83.33%,42.95%,0.409
