Network DDoS Simulation Results
Timestamp,2025-10-23_17-11-08
Simulation Duration,900s
Number of Servers,8
Processing Power,250 req/sec
Queue Size,400
Legitimate Clients,400
Malicious Clients,150
Legitimate Traffic Rate,2 req/sec
Malicious Traffic Rate,40 req/sec
Request Timeout,8s
Server Timeout,2s

Final Simulation Results
Total Generated Requests,6119600
Total Served Requests,964570
Total Dropped - Queue Full,2549
Total Dropped - Timeout,1675
Total Dropped - High Load,27168
Total Dropped - No Server,5123638
Overall Success Rate,15.76%
Overall Drop Rate,84.24%

Probability Analysis
Bandwidth Exhaustion,100.00%
Resource Depletion,90.50%
Successful Attack,88.27%
Total Processing Capacity,2000 req/sec
Capacity Threshold,1600 req/sec

Per-Server Breakdown
Server ID,Total Requests Received,Total Requests Processed,Success Rate,Acceptance Rate,Processing Rate,Drops Queue Full,Drops Queue Full Rate,Drops Timeout,Drops Timeout Rate,Drops High Load,Drops High Load Rate,Total Drops,Total Drop Rate,Max CPU Utilization,Avg CPU Utilization,Max Queue Utilization,Avg Queue Utilization,Max Queue Length,Avg Queue Length,Min Health Score,Avg Health Score,Time Spent Offline,Offline Percentage
NetworkServer0,124181,120169,96.77%,100.00%,133.5 req/sec,316,0.25%,378,0.30%,3318,2.67%,4012,3.23%,100.0%,86.2%,100.0%,46.2%,400,184.8,0.000,0.373,2.9s,0.3%
NetworkServer1,122540,118721,96.88%,100.00%,131.9 req/sec,312,0.25%,199,0.16%,3308,2.70%,3819,3.12%,100.0%,83.4%,100.0%,42.4%,400,169.5,0.000,0.407,1.8s,0.2%
NetworkServer2,124180,120216,96.81%,100.00%,133.6 req/sec,317,0.26%,307,0.25%,3340,2.69%,3964,3.19%,100.0%,88.1%,100.0%,51.8%,400,207.1,0.000,0.332,3.8s,0.4%
NetworkServer3,125590,121599,96.82%,100.00%,135.1 req/sec,324,0.26%,284,0.23%,3383,2.69%,3991,3.18%,100.0%,81.8%,100.0%,45.4%,400,181.5,0.000,0.395,3.6s,0.4%
NetworkServer4,125335,121336,96.81%,100.00%,134.8 req/sec,321,0.26%,218,0.17%,3460,2.76%,3999,3.19%,100.0%,87.1%,100.0%,43.4%,400,173.7,0.000,0.385,3.5s,0.4%
NetworkServer5,123878,120032,96.90%,100.00%,133.4 req/sec,315,0.25%,111,0.09%,3420,2.76%,3846,3.10%,100.0%,90.0%,100.0%,49.1%,400,196.6,0.000,0.340,3.3s,0.4%
NetworkServer6,125021,121243,96.98%,100.00%,134.7 req/sec,321,0.26%,0,0.00%,3457,2.77%,3778,3.02%,100.0%,86.6%,100.0%,48.4%,400,193.6,0.000,0.358,1.6s,0.2%
NetworkServer7,125237,121254,96.82%,100.00%,134.7 req/sec,323,0.26%,178,0.14%,3482,2.78%,3983,3.18%,100.0%,87.2%,100.0%,47.1%,400,188.5,0.000,0.363,2.3s,0.3%

Total Simulation Time-Series Data
Timestamp,Total Generated,Total Served,Drops Queue Full,Drops Timeout,Drops High Load,Drops No Server,Success Rate,Drop Rate,Legit Sent,Legit Success,Legit No Response,Legit Success Rate,Legit Drop Rate,Botnet Sent,Botnet Success,Botnet No Response,Botnet Success Rate,Botnet Drop Rate,Bandwidth Exhaustion Prob,Resource Depletion Prob,Successful Attack Prob,Avg CPU Utilization,Avg Queue Utilization,Avg Health Score
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.00%,0.00%,0.000
5,33450,5617,16,0,164,26844,0.16792227204783258,0.8078923766816144,3600,608,2966,0.1688888888888889,0.8238888888888889,29850,5009,23878,0.16780569514237856,0.7999329983249581,1.0,0.8311111111111111,0.8013071895424837,84.00%,20.03%,0.544
10,67450,10765,32,0,321,54937,0.15959970348406227,0.819718309859155,7600,1120,6289,0.14736842105263157,0.8275,59850,9645,48648,0.1611528822055138,0.8128320802005012,1.0,0.8526315789473684,0.826625386996904,62.50%,39.69%,0.512
15,101450,15923,47,0,435,82973,0.1569541646131099,0.8226219812715624,11600,1365,10155,0.11767241379310345,0.8754310344827586,89850,14558,72818,0.1620255982192543,0.8104396215915415,1.0,0.8823275862068966,0.8615618661257607,100.00%,58.50%,0.249
20,135600,21639,60,0,585,111867,0.1595796460176991,0.8297345132743363,15600,2106,13364,0.135,0.8566666666666667,120000,19533,98503,0.162775,0.8208583333333334,1.0,0.865,0.8411764705882353,87.50%,39.81%,0.411
25,169600,27151,77,0,767,139290,0.1600884433962264,0.8262617924528302,19600,2261,17080,0.11535714285714285,0.8714285714285714,150000,24890,122210,0.16593333333333332,0.8147333333333333,1.0,0.8846428571428572,0.8642857142857143,100.00%,66.09%,0.203
30,203600,32485,87,0,879,169344,0.15955304518664049,0.8364931237721022,23600,2364,21003,0.10016949152542373,0.889957627118644,180000,30121,148341,0.1673388888888889,0.8241166666666667,1.0,0.8998305084745762,0.8821535393818544,63.00%,21.22%,0.621
35,237600,37781,102,0,1030,196977,0.15901094276094277,0.8337920875420876,27600,2704,24721,0.09797101449275362,0.8956884057971014,210000,35077,172256,0.16703333333333334,0.8202666666666667,1.0,0.9020289855072464,0.8847399829497017,87.50%,47.97%,0.362
40,271600,42981,117,0,1204,225303,0.15825110456553756,0.8344035346097202,31600,2704,28543,0.08556962025316456,0.9032594936708861,240000,40277,196760,0.16782083333333334,0.8198333333333333,1.0,0.9144303797468354,0.8993298585256888,87.50%,56.88%,0.309
45,305600,48527,131,0,1362,253763,0.1587925392670157,0.8352617801047121,35600,2995,32408,0.08412921348314607,0.9103370786516853,270000,45532,221355,0.16863703703703703,0.8198333333333333,1.0,0.9158707865168539,0.9010244547257105,87.50%,51.31%,0.342
50,339600,54034,146,0,1510,282170,0.15911071849234393,0.8357656065959953,39600,2995,36408,0.07563131313131313,0.9193939393939394,300000,51039,245762,0.17013,0.8192066666666666,1.0,0.9243686868686869,0.9110219845513964,87.50%,48.91%,0.357
55,373600,59294,161,0,1652,310460,0.15870985010706637,0.8358485010706638,43600,2995,40289,0.06869266055045871,0.9240596330275229,330000,56299,270171,0.1706030303030303,0.8187,1.0,0.9313073394495412,0.9191851052347544,100.00%,57.28%,0.256
60,407600,64432,171,0,1747,340295,0.1580765456329735,0.8395804710500491,47600,3103,44289,0.0651890756302521,0.9304411764705882,360000,61329,296006,0.17035833333333333,0.8222388888888889,1.0,0.9348109243697479,0.9233069698467622,77.50%,25.00%,0.540
