Network DDoS Simulation Results
Timestamp,2025-10-23_13-30-30
Simulation Duration,900s
Number of Servers,8
Processing Power,250 req/sec
Queue Size,400
Legitimate Clients,400
Malicious Clients,80
Legitimate Traffic Rate,2 req/sec
Malicious Traffic Rate,15 req/sec
Request Timeout,3s
Server Timeout,2s

Final Simulation Results
Total Generated Requests,1799520
Total Served Requests,1593651
Total Dropped - Queue Full,40
Total Dropped - Timeout,2620
Total Dropped - High Load,190969
Total Dropped - No Server,12240
Overall Success Rate,88.56%
Overall Drop Rate,11.44%

Probability Analysis
Bandwidth Exhaustion,60.00%
Resource Depletion,16.39%
Successful Attack,2.23%
Total Processing Capacity,2000 req/sec
Capacity Threshold,1600 req/sec

Per-Server Breakdown
Server ID,Total Requests Received,Total Requests Processed,Success Rate,Acceptance Rate,Processing Rate,Drops Queue Full,Drops Queue Full Rate,Drops Timeout,Drops Timeout Rate,Drops High Load,Drops High Load Rate,Total Drops,Total Drop Rate,Max CPU Utilization,Avg CPU Utilization,Max Queue Utilization,Avg Queue Utilization,Max Queue Length,Avg Queue Length,Min Health Score,Avg Health Score,Time Spent Offline,Offline Percentage
NetworkServer0,222770,198354,89.04%,100.00%,220.4 req/sec,5,0.00%,319,0.14%,24092,10.81%,24416,10.96%,100.0%,98.9%,87.2%,83.4%,349,333.7,0.000,0.098,1.8s,0.2%
NetworkServer1,223192,198789,89.07%,100.00%,220.9 req/sec,5,0.00%,311,0.14%,24087,10.79%,24403,10.93%,100.0%,98.9%,88.0%,83.9%,352,335.5,0.000,0.096,3.6s,0.4%
NetworkServer2,223858,199442,89.09%,100.00%,221.6 req/sec,6,0.00%,342,0.15%,24068,10.75%,24416,10.91%,100.0%,98.3%,87.2%,82.8%,349,331.2,0.000,0.104,3.7s,0.4%
NetworkServer3,224164,199903,89.18%,100.00%,222.1 req/sec,4,0.00%,339,0.15%,23918,10.67%,24261,10.82%,100.0%,99.4%,87.2%,83.5%,349,333.9,0.000,0.096,3.3s,0.4%
NetworkServer4,223715,199720,89.27%,100.00%,221.9 req/sec,5,0.00%,327,0.15%,23663,10.58%,23995,10.73%,100.0%,99.4%,87.2%,83.6%,349,334.2,0.000,0.095,3.5s,0.4%
NetworkServer5,222895,198781,89.18%,100.00%,220.9 req/sec,5,0.00%,317,0.14%,23792,10.67%,24114,10.82%,100.0%,98.3%,87.0%,83.0%,348,331.9,0.000,0.103,3.8s,0.4%
NetworkServer6,223280,199596,89.39%,100.00%,221.8 req/sec,5,0.00%,337,0.15%,23342,10.45%,23684,10.61%,100.0%,98.9%,88.2%,83.5%,353,334.1,0.000,0.098,3.2s,0.4%
NetworkServer7,223406,199066,89.11%,100.00%,221.2 req/sec,5,0.00%,328,0.15%,24007,10.75%,24340,10.89%,100.0%,99.4%,87.8%,82.9%,351,331.7,0.000,0.099,2.0s,0.2%

Total Simulation Time-Series Data
Timestamp,Total Generated,Total Served,Drops Queue Full,Drops Timeout,Drops High Load,Drops No Server,Success Rate,Drop Rate,Legit Sent,Legit Success,Legit No Response,Legit Success Rate,Legit Drop Rate,Botnet Sent,Botnet Success,Botnet No Response,Botnet Success Rate,Botnet Drop Rate,Bandwidth Exhaustion Prob,Resource Depletion Prob,Successful Attack Prob,Avg CPU Utilization,Avg Queue Utilization,Avg Health Score
65,129520,104812,40,0,9602,12240,0.8092340951204448,0.1689468807906115,51600,40882,4964,0.7922868217054263,0.0962015503875969,77920,63930,7276,0.8204568788501027,0.09337782340862423,0.6,0.2014817829457365,0.0678978568171455,100.00%,82.06%,0.108
70,139520,113782,40,0,10653,12240,0.8155246559633027,0.16437069954128442,55600,44388,4964,0.7983453237410072,0.08928057553956835,83920,69394,7276,0.826906577693041,0.08670162059103909,0.6,0.195605035971223,0.06077020736352092,100.00%,81.41%,0.112
75,149520,122733,40,0,11674,12240,0.820846709470305,0.1602059925093633,59600,47902,4964,0.8037248322147651,0.08328859060402685,89920,74831,7276,0.8321952846975089,0.08091637010676156,0.6,0.19038691275167785,0.05444137386498222,100.00%,82.28%,0.106
80,159520,131613,40,0,12746,12240,0.8250564192577733,0.15688314944834503,63600,51321,4964,0.8069339622641509,0.0780503144654088,95920,80292,7276,0.8370725604670559,0.07585487906588824,0.6,0.18727405660377358,0.050665926748057706,100.00%,83.78%,0.097
85,169520,140535,40,0,13845,12240,0.8290172251061821,0.15411160924964606,67600,54781,4964,0.8103698224852071,0.0734319526627219,101920,85754,7276,0.8413854003139717,0.07138932496075354,0.6,0.18394127218934914,0.046623738252697555,100.00%,83.12%,0.101
90,179520,149464,40,0,14910,12240,0.8325757575757575,0.15145944741532977,71600,58261,4964,0.8137011173184358,0.06932960893854749,107920,91203,7276,0.8450982209043736,0.06742031134173462,0.6,0.18070991620111732,0.042704567860663796,100.00%,83.31%,0.100
95,189600,158353,40,0,15991,12240,0.8351951476793249,0.14910864978902955,75600,61702,4964,0.8161640211640212,0.06566137566137566,114000,96651,7276,0.8478157894736842,0.06382456140350877,0.608,0.178431201058201,0.039807033924680914,100.00%,86.75%,0.080
100,199600,167237,40,0,17119,12240,0.8378607214428858,0.14728957915831664,79600,65111,4964,0.8179773869346734,0.06236180904522613,120000,102126,7276,0.85105,0.06063333333333333,0.6,0.17656193467336684,0.037673662429796015,100.00%,86.38%,0.082
105,209600,176136,40,0,18220,12240,0.8403435114503817,0.14551526717557253,83600,68521,4964,0.8196291866028708,0.05937799043062201,126000,107615,7276,0.8540873015873016,0.05774603174603175,0.6,0.17495968899521536,0.03573036870250496,100.00%,86.38%,0.082
110,219600,185047,40,0,19317,12240,0.8426548269581057,0.14388433515482696,87600,71965,4964,0.8215182648401826,0.056666666666666664,132000,113082,7276,0.8566818181818182,0.05512121212121212,0.6,0.17312728310502284,0.03350792371743216,100.00%,86.12%,0.083
115,229600,193920,40,0,20415,12240,0.8445993031358885,0.14239982578397212,91600,75378,4964,0.8229039301310044,0.054192139737991266,138000,118542,7276,0.859,0.05272463768115942,0.6,0.17178318777292576,0.03187772925764188,100.00%,87.03%,0.078
120,239600,202823,40,0,21535,12240,0.8465066777963273,0.14113105175292154,95600,78801,4964,0.8242782426778242,0.05192468619246862,144000,124022,7276,0.8612638888888889,0.050527777777777776,0.6,0.17045010460251048,0.03026089096726558,100.00%,86.31%,0.082
125,249600,211721,40,0,22620,12240,0.8482411858974359,0.13982371794871795,99600,82243,4964,0.8257329317269076,0.04983935742971887,150000,129478,7276,0.8631866666666667,0.04850666666666666,0.6,0.16903905622489956,0.028549492085990977,100.00%,86.84%,0.079
