Network DDoS Simulation Results
Timestamp,2025-10-23_17-35-54
Simulation Duration,900s
Number of Servers,12
Processing Power,300 req/sec
Queue Size,600
Legitimate Clients,400
Malicious Clients,80
Legitimate Traffic Rate,2 req/sec
Malicious Traffic Rate,15 req/sec
Request Timeout,3s
Server Timeout,2s

Final Simulation Results
Total Generated Requests,1799520
Total Served Requests,1799321
Total Dropped - Queue Full,5
Total Dropped - Timeout,60
Total Dropped - High Load,134
Total Dropped - No Server,0
Overall Success Rate,99.99%
Overall Drop Rate,0.01%

Probability Analysis
Bandwidth Exhaustion,33.33%
Resource Depletion,0.25%
Successful Attack,0.00%
Total Processing Capacity,3600 req/sec
Capacity Threshold,2880 req/sec

Per-Server Breakdown
Server ID,Total Requests Received,Total Requests Processed,Success Rate,Acceptance Rate,Processing Rate,Drops Queue Full,Drops Queue Full Rate,Drops Timeout,Drops Timeout Rate,Drops High Load,Drops High Load Rate,Total Drops,Total Drop Rate,Max CPU Utilization,Avg CPU Utilization,Max Queue Utilization,Avg Queue Utilization,Max Queue Length,Avg Queue Length,Min Health Score,Avg Health Score,Time Spent Offline,Offline Percentage
NetworkServer0,290780,290759,99.99%,100.00%,323.1 req/sec,1,0.00%,0,0.00%,20,0.01%,21,0.01%,100.0%,83.1%,44.8%,3.1%,269,18.6,0.000,0.643,2.8s,0.3%
NetworkServer1,299526,299483,99.99%,100.00%,332.8 req/sec,1,0.00%,0,0.00%,42,0.01%,43,0.01%,100.0%,76.7%,41.8%,2.5%,251,15.1,0.000,0.672,1.7s,0.2%
NetworkServer2,303936,303908,99.99%,100.00%,337.7 req/sec,1,0.00%,10,0.00%,17,0.01%,28,0.01%,100.0%,76.5%,22.3%,2.7%,134,16.1,0.000,0.672,2.1s,0.2%
NetworkServer3,298260,298250,100.00%,100.00%,331.4 req/sec,1,0.00%,0,0.00%,9,0.00%,10,0.00%,100.0%,81.3%,36.8%,2.8%,221,16.9,0.000,0.652,1.8s,0.2%
NetworkServer4,301985,301920,99.98%,100.00%,335.5 req/sec,1,0.00%,50,0.02%,14,0.00%,65,0.02%,100.0%,80.1%,37.0%,2.4%,222,14.1,0.000,0.660,2.1s,0.2%
NetworkServer5,305033,305001,99.99%,100.00%,338.9 req/sec,0,0.00%,0,0.00%,32,0.01%,32,0.01%,100.0%,78.9%,37.8%,2.1%,227,12.6,0.000,0.666,0.0s,0.0%
NetworkServer6,0,0,0.00%,0.00%,0.0 req/sec,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.0%,0.0%,0.0%,0.0%,0,0.0,0.000,0.000,0.0s,0.0%
NetworkServer7,0,0,0.00%,0.00%,0.0 req/sec,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.0%,0.0%,0.0%,0.0%,0,0.0,0.000,0.000,0.0s,0.0%
NetworkServer8,0,0,0.00%,0.00%,0.0 req/sec,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.0%,0.0%,0.0%,0.0%,0,0.0,0.000,0.000,0.0s,0.0%
NetworkServer9,0,0,0.00%,0.00%,0.0 req/sec,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.0%,0.0%,0.0%,0.0%,0,0.0,0.000,0.000,0.0s,0.0%
NetworkServer10,0,0,0.00%,0.00%,0.0 req/sec,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.0%,0.0%,0.0%,0.0%,0,0.0,0.000,0.000,0.0s,0.0%
NetworkServer11,0,0,0.00%,0.00%,0.0 req/sec,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.0%,0.0%,0.0%,0.0%,0,0.0,0.000,0.000,0.0s,0.0%

Total Simulation Time-Series Data
Timestamp,Total Generated,Total Served,Drops Queue Full,Drops Timeout,Drops High Load,Drops No Server,Success Rate,Drop Rate,Legit Sent,Legit Success,Legit No Response,Legit Success Rate,Legit Drop Rate,Botnet Sent,Botnet Success,Botnet No Response,Botnet Success Rate,Botnet Drop Rate,Bandwidth Exhaustion Prob,Resource Depletion Prob,Successful Attack Prob,Avg CPU Utilization,Avg Queue Utilization,Avg Health Score
90,179520,179186,5,0,134,0,0.9981394830659537,0.0007742869875222816,71600,71530,0,0.9990223463687151,0.0,107920,107656,0,0.9975537435137138,0.0,0.3333333333333333,0.0004174425822470362,0.0,28.10%,1.07%,0.381
95,189600,189186,5,0,134,0,0.9978164556962026,0.0007331223628691983,75600,75530,0,0.9990740740740741,0.0,114000,113656,0,0.9969824561403509,0.0,0.3377777777777778,0.00045728982951203186,0.0,47.14%,1.07%,0.305
100,199600,199178,5,0,134,0,0.9978857715430862,0.0006963927855711423,79600,79530,0,0.9991206030150753,0.0,120000,119648,0,0.9970666666666667,0.0,0.3333333333333333,0.00041876046901174953,0.0,42.86%,1.43%,0.320
105,209600,209163,5,0,134,0,0.9979150763358778,0.0006631679389312977,83600,83530,0,0.9991626794258374,0.0,126000,125633,0,0.9970873015873016,0.0,0.3333333333333333,0.00040005316321103744,0.0,43.33%,1.61%,0.317
110,219600,219192,5,0,134,0,0.9981420765027322,0.0006329690346083789,87600,87530,0,0.9992009132420091,0.0,132000,131662,0,0.997439393939394,0.0,0.3333333333333333,0.0003817858954845395,0.0,43.33%,1.21%,0.319
115,229600,229189,5,0,134,0,0.9982099303135888,0.0006054006968641115,91600,91530,0,0.999235807860262,0.0,138000,137659,0,0.9975289855072463,0.0,0.3333333333333333,0.00037239204269772175,0.0,46.19%,1.08%,0.309
120,239600,239175,5,0,134,0,0.9982262103505843,0.0005801335559265442,95600,95530,0,0.9992677824267783,0.0,144000,143645,0,0.9975347222222222,0.0,0.3333333333333333,0.0003422826592282518,0.0,40.24%,1.62%,0.329
125,249600,249150,5,0,134,0,0.9981971153846154,0.0005568910256410257,99600,99530,0,0.99929718875502,0.0,150000,149620,0,0.9974666666666666,0.0,0.3333333333333333,0.00034136546184740455,0.0,45.71%,1.65%,0.307
130,259600,259138,5,0,134,0,0.9982203389830508,0.0005354391371340523,103600,103530,0,0.9993243243243243,0.0,156000,155608,0,0.9974871794871795,0.0,0.3333333333333333,0.0003335478335478575,0.0,48.10%,1.68%,0.298
135,269600,269191,5,0,134,0,0.9984829376854599,0.0005155786350148368,107600,107530,0,0.9993494423791821,0.0,162000,161661,0,0.9979074074074074,0.0,0.3333333333333333,0.00031185460553492654,0.0,43.81%,1.19%,0.318
140,279600,279161,5,0,134,0,0.9984298998569385,0.0004971387696709585,111600,111530,0,0.9993727598566309,0.0,168000,167631,0,0.9978035714285715,0.0,0.3333333333333333,0.000300179211469509,0.0,43.57%,1.62%,0.316
145,289600,289162,5,0,134,0,0.9984875690607735,0.00047997237569060775,115600,115530,0,0.99939446366782,0.0,174000,173632,0,0.9978850574712643,0.0,0.3333333333333333,0.00028835063437141324,0.0,42.86%,1.65%,0.319
150,299600,299161,5,0,134,0,0.9985347129506008,0.0004639519359145527,119600,119530,0,0.9994147157190636,0.0,180000,179631,0,0.99795,0.0,0.3333333333333333,0.0002838164251207485,0.0,45.48%,1.51%,0.309
155,309600,309172,5,0,134,0,0.9986175710594315,0.00044896640826873384,123600,123530,0,0.9994336569579289,0.0,186000,185642,0,0.9980752688172043,0.0,0.3333333333333333,0.00026249550521392935,0.0,39.05%,1.74%,0.333
160,319600,319150,5,0,134,0,0.9985919899874843,0.00043491864831038797,127600,127530,0,0.9994514106583072,0.0,192000,191620,0,0.9980208333333334,0.0,0.3333333333333333,0.00026689306861719844,0.0,45.95%,1.64%,0.306
165,329600,329183,5,0,134,0,0.9987348300970874,0.0004217233009708738,131600,131530,0,0.999468085106383,0.0,198000,197653,0,0.9982474747474748,0.0,0.3333333333333333,0.00026595744680851796,0.0,50.00%,0.94%,0.294
170,339600,339152,5,0,134,0,0.9986808009422851,0.00040930506478209657,135600,135530,0,0.9994837758112094,0.0,204000,203622,0,0.9981470588235294,0.0,0.3333333333333333,0.0002495083579154585,0.0,45.00%,1.67%,0.310
175,349600,349147,5,0,134,0,0.998704233409611,0.00039759725400457667,139600,139530,0,0.9994985673352436,0.0,210000,209617,0,0.9981761904761904,0.0,0.3333333333333333,0.00024554282075771723,0.0,46.90%,1.62%,0.303
