Network DDoS Simulation Results
Timestamp,2025-10-23_17-48-56
Simulation Duration,900s
Number of Servers,8
Processing Power,200 req/sec
Queue Size,400
Legitimate Clients,400
Malicious Clients,80
Legitimate Traffic Rate,2 req/sec
Malicious Traffic Rate,15 req/sec
Request Timeout,3s
Server Timeout,2s

Final Simulation Results
Total Generated Requests,1799520
Total Served Requests,579163
Total Dropped - Queue Full,1968
Total Dropped - Timeout,273026
Total Dropped - High Load,24386
Total Dropped - No Server,920977
Overall Success Rate,32.18%
Overall Drop Rate,67.82%

Probability Analysis
Bandwidth Exhaustion,74.99%
Resource Depletion,66.93%
Successful Attack,65.44%
Total Processing Capacity,1600 req/sec
Capacity Threshold,1280 req/sec

Per-Server Breakdown
Server ID,Total Requests Received,Total Requests Processed,Success Rate,Acceptance Rate,Processing Rate,Drops Queue Full,Drops Queue Full Rate,Drops Timeout,Drops Timeout Rate,Drops High Load,Drops High Load Rate,Total Drops,Total Drop Rate,Max CPU Utilization,Avg CPU Utilization,Max Queue Utilization,Avg Queue Utilization,Max Queue Length,Avg Queue Length,Min Health Score,Avg Health Score,Time Spent Offline,Offline Percentage
NetworkServer0,107816,71921,66.71%,100.00%,79.9 req/sec,243,0.23%,32655,30.29%,2997,2.78%,35895,33.29%,100.0%,89.0%,98.5%,57.7%,394,230.8,0.000,0.292,3.8s,0.4%
NetworkServer1,110618,72260,65.32%,100.00%,80.3 req/sec,244,0.22%,35121,31.75%,2993,2.71%,38358,34.68%,100.0%,89.7%,100.0%,58.8%,400,235.3,0.000,0.283,3.3s,0.4%
NetworkServer2,108988,71680,65.77%,100.00%,79.6 req/sec,251,0.23%,33898,31.10%,3159,2.90%,37308,34.23%,100.0%,91.8%,100.0%,60.8%,400,243.3,0.000,0.262,3.2s,0.4%
NetworkServer3,110574,73122,66.13%,100.00%,81.2 req/sec,246,0.22%,34101,30.84%,3105,2.81%,37452,33.87%,100.0%,88.3%,100.0%,58.2%,400,232.8,0.000,0.292,3.7s,0.4%
NetworkServer4,111286,73060,65.65%,100.00%,81.2 req/sec,247,0.22%,34876,31.34%,3103,2.79%,38226,34.35%,100.0%,89.9%,100.0%,60.4%,400,241.6,0.000,0.272,3.7s,0.4%
NetworkServer5,109353,73046,66.80%,100.00%,81.2 req/sec,246,0.22%,33063,30.24%,2998,2.74%,36307,33.20%,100.0%,87.8%,100.0%,57.5%,400,229.9,0.000,0.298,2.6s,0.3%
NetworkServer6,110293,74037,67.13%,100.00%,82.3 req/sec,245,0.22%,32973,29.90%,3038,2.75%,36256,32.87%,100.0%,91.8%,100.0%,61.2%,400,244.7,0.000,0.260,3.8s,0.4%
NetworkServer7,109615,70037,63.89%,100.00%,77.8 req/sec,246,0.22%,36339,33.15%,2993,2.73%,39578,36.11%,100.0%,90.3%,99.8%,62.0%,399,248.1,0.000,0.261,3.2s,0.4%

Total Simulation Time-Series Data
Timestamp,Total Generated,Total Served,Drops Queue Full,Drops Timeout,Drops High Load,Drops No Server,Success Rate,Drop Rate,Legit Sent,Legit Success,Legit No Response,Legit Success Rate,Legit Drop Rate,Botnet Sent,Botnet Success,Botnet No Response,Botnet Success Rate,Botnet Drop Rate,Bandwidth Exhaustion Prob,Resource Depletion Prob,Successful Attack Prob,Avg CPU Utilization,Avg Queue Utilization,Avg Health Score
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,0.0,0.00%,0.00%,0.000
5,9520,2535,11,1118,136,3941,0.266281512605042,0.5468487394957983,3600,941,2040,0.2613888888888889,0.5666666666666667,5920,1594,3019,0.26925675675675675,0.5099662162162162,0.74,0.7242081944444445,0.6924836601307189,100.00%,49.34%,0.304
10,19600,5682,23,2775,276,9066,0.28989795918367345,0.6193877551020408,7600,2042,5091,0.2686842105263158,0.6698684210526316,12000,3640,6750,0.30333333333333334,0.5625,0.76,0.687436842105263,0.6839009287925697,87.50%,50.09%,0.349
15,29600,9214,34,4355,406,14295,0.3112837837837838,0.6449324324324325,11600,3545,7605,0.30560344827586206,0.655603448275862,18000,5669,11045,0.31494444444444447,0.6136111111111111,0.75,0.6006530172413793,0.6404665314401623,76.00%,35.75%,0.481
20,39600,12044,45,5808,526,19320,0.30414141414141416,0.6489646464646465,15600,4398,10114,0.28192307692307694,0.6483333333333333,24000,7646,15014,0.31858333333333333,0.6255833333333334,0.75,0.700125,0.6683257918552036,95.00%,52.09%,0.307
25,49600,15194,57,7217,683,24525,0.3063306451612903,0.6548790322580645,19600,5440,13038,0.27755102040816326,0.6652040816326531,30000,9754,18704,0.32513333333333333,0.6234666666666666,0.75,0.7089030612244898,0.673469387755102,100.00%,53.88%,0.277
30,59600,17948,69,9016,846,29683,0.3011409395973154,0.6646644295302013,23600,6098,16052,0.2583898305084746,0.6801694915254237,36000,11850,22647,0.32916666666666666,0.6290833333333333,0.75,0.7277049788135592,0.6960119641076771,100.00%,57.44%,0.255
35,69520,21328,82,10568,999,34340,0.30678941311852703,0.6615218642117376,27600,7507,18484,0.2719927536231884,0.6697101449275362,41920,13821,26424,0.329699427480916,0.6303435114503817,0.74,0.7138111050724638,0.6800085251491901,100.00%,62.59%,0.224
40,79520,24741,92,12258,1117,39899,0.31112927565392356,0.6711016096579477,31600,8919,21474,0.28224683544303797,0.6795569620253165,47920,15822,30683,0.3301752921535893,0.64029632721202,0.75,0.6782767405063291,0.6679448994787789,89.00%,38.59%,0.412
45,89520,27979,101,14212,1280,44666,0.31254468275245756,0.6731344950848972,35600,10218,24001,0.2870224719101124,0.674185393258427,53920,17761,34877,0.32939540059347183,0.6468286350148368,0.75,0.6737637640449438,0.662326503635162,89.00%,34.50%,0.437
50,99520,31807,114,15162,1437,48876,0.3196040996784566,0.6590534565916398,39600,12025,25860,0.3036616161616162,0.6530303030303031,59920,19782,38178,0.33014018691588787,0.6371495327102804,0.75,0.6116172138047139,0.6427510398098633,78.00%,61.50%,0.319
55,109520,34946,125,16775,1591,53958,0.31908327246165086,0.6615138787436085,43600,13262,28736,0.3041743119266055,0.6590825688073394,65920,21684,41997,0.32894417475728155,0.6370904126213592,0.75,0.6575552752293579,0.6421478683216406,89.00%,60.84%,0.279
60,119520,38101,135,18643,1712,59061,0.3187834672021419,0.6655873493975903,47600,14281,31535,0.3000210084033613,0.6625,71920,23820,46169,0.33120133481646274,0.6419493882091213,0.75,0.6846669511554622,0.6470341077607514,97.50%,52.28%,0.296
